"","x"
"58","Spoon theory is a theory, utilizing ""Spoons"" as a metaphor for energy they can use in a day."
"59","In ""The Sims"" series, the most members in a household you can have is 8."
"60","Japan was part of the Allied Powers during World War I."
"61","This is the correct spelling of ""Supercalifragilisticexpialidocious""."
"62","Unturned originally started as a Roblox game."
"63","Joseph Stalin's real name was Ioseb Bessarionis dze Dzugashvili."
"64","It was once believed that injecting shark cartilage into people would prevent them from contracting cancer."
"65","""Number 16 Bus Shelter"" was a child's name that was approved by the New Zealand government."
"66","In ""Portal 2"", Cave Johnson started out Aperture Science as a shower curtain company."
"67","In ""Metal Gear Solid 2"", you will see through the eyes of Psycho Mantis if you go first person during his boss fight."
"68","Scientists can grow teeth from urine."
"69","If you could fold a piece of paper in half 50 times, its' thickness will be 3/4th the distance from the Earth to the Sun."
"70","The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical."
"71","Rannamaari was a sea demon that haunted the people of the Maldives and had to be appeased monthly with the sacrifice of a virgin girl."
"72","Throughout the entirety of ""Dragon Ball Z"", Goku only kills two characters: a miniboss named Yakon and Kid Buu."
"73","The song ""Mystery Train"" was released by artist ""Little Junior's Blue Flames"" in 1953."
"74","In Scandinavian languages, the letter Å means river."
"75","The names of Roxas's Keyblades in Kingdom Hearts are ""Oathkeeper"" and ""Oblivion""."
"76","Joko Widodo has appeared in the cover of a TIME magazine."
"77","The band STRFKR was also briefly known as Pyramiddd."
"78","Harry Potter was born on July 31st, 1980."
"79","Nazi Germany surrendered on Harry Truman's birthday while he was president."
"80","The Klingon home planet is Qo'noS."
"81","The board game Go has more possible legal positions than the number of atoms in the visible universe."
"82","Lady Gaga's real name is Stefani Joanne Angelina Germanotta."
"83","In Topology, the complement of an open set is a closed set."
"84","The value of one Calorie is different than the value of one calorie."
"85","During the Winter War, the amount of Soviet Union soliders that died or went missing was five times more than Finland's."
"86","Stagecoach owned ""South West Trains"" before losing the rights to FirstGroup and MTR in March of 2017."
"87","In the ""To Love-Ru"" series, Peke is considered a female robot."
"88","Spoon theory is a theory, utilizing ""Spoons"" as a metaphor for energy they can use in a day."
"89","In ""The Sims"" series, the most members in a household you can have is 8."
"90","Japan was part of the Allied Powers during World War I."
"91","Unturned originally started as a Roblox game."
"92","Joseph Stalin's real name was Ioseb Bessarionis dze Dzugashvili."
"93","It was once believed that injecting shark cartilage into people would prevent them from contracting cancer."
"94","""Number 16 Bus Shelter"" was a child's name that was approved by the New Zealand government."
"95","In ""Portal 2"", Cave Johnson started out Aperture Science as a shower curtain company."
"96","In ""Metal Gear Solid 2"", you will see through the eyes of Psycho Mantis if you go first person during his boss fight."
"97","Scientists can grow teeth from urine."
"98","If you could fold a piece of paper in half 50 times, its' thickness will be 3/4th the distance from the Earth to the Sun."
"99","The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical."
"100","Rannamaari was a sea demon that haunted the people of the Maldives and had to be appeased monthly with the sacrifice of a virgin girl."
"101","Throughout the entirety of ""Dragon Ball Z"", Goku only kills two characters: a miniboss named Yakon and Kid Buu."
"102","The song ""Mystery Train"" was released by artist ""Little Junior's Blue Flames"" in 1953."
"103","In Scandinavian languages, the letter Å means river."
"104","The names of Roxas's Keyblades in Kingdom Hearts are ""Oathkeeper"" and ""Oblivion""."
"105","Joko Widodo has appeared in the cover of a TIME magazine."
"106","The band STRFKR was also briefly known as Pyramiddd."
"107","Harry Potter was born on July 31st, 1980."
"108","Nazi Germany surrendered on Harry Truman's birthday while he was president."
"109","The Klingon home planet is Qo'noS."
"110","Lady Gaga's real name is Stefani Joanne Angelina Germanotta."
"111","In Topology, the complement of an open set is a closed set."
"112","The value of one Calorie is different than the value of one calorie."
"113","During the Winter War, the amount of Soviet Union soliders that died or went missing was five times more than Finland's."
"114","Stagecoach owned ""South West Trains"" before losing the rights to FirstGroup and MTR in March of 2017."
"115","In the ""To Love-Ru"" series, Peke is considered a female robot."
"116","Spoon theory is a theory, utilizing ""Spoons"" as a metaphor for energy they can use in a day."
