"","x"
"19","Morgan Tsvangirai was the most effective opposition leader in Zimbabwe since independence. 
His greatest strength was his bravery. He risked his life to stand up to the authoritarian rule of Robert Mugabe and his allies in the security forces. He was twice severely beaten for his pains and three times charged with treason.
Despite this, he continually found himself out-manoeuvred by Robert Mugabe who refused to cede any power.
Tsvangirai was eventually sworn in as prime minister but found it impossible to achieve any meaningful reforms. However he played a part in paving the way for the overthrow of Mugabe in 2017.
Morgan Richard Tsvangirai was born on 10 March 1952 in the Gutu area of Southern Rhodesia, one of nine children of a carpenter.
He left school to become a textile weaver, but then went to work in a mine in Bindura, 50 miles north-east of Harare.
Tsvangirai became involved in union activities and was elected to the executive of the National Mine Workers Union.
When Zimbabwe gained independence in 1980 he joined Mugabe's Zanu-PF party and rose to become a senior official. 
By the late 1980s, he had become head of the Zimbabwe Congress of Trade Unions, which had been set up on independence. 
As the congress began to break its close ties with Zanu-PF, Tsvangirai found himself at the head of a powerful opposition group.
In December 1997 and early 1998, he led a series of strikes, known as ""stayaways"", against tax increases, which brought the country to a standstill.
These forced Mugabe's government to cancel two tax rises and to abandon a promised tax to help fund war veterans' pensions. 
In apparent revenge for his part in defeating Mugabe and the war veterans, a group of men burst into Tsvangirai's office, hit him on the head with a metal bar and attempted to throw him out of his 10th floor office window.
In 1999 Tsvangirai founded the Movement for Democratic Change (MDC), which attracted a younger generation of Zimbabweans, particularly urban workers.
They were less interested in Mugabe's historical role as Zimbabwe's founding father and more concerned with his economic mismanagement. 
Within months, the new party had helped defeat the government over its referendum on constitutional reform, which included clauses allowing the seizure of white-owned farms without compensation. 
In the 2000 general election, his fledgling movement loosened the ruling party's usual iron grip on power, gaining 57 of the constituency-based seats, against 62 held by Zanu-PF.
It was a result without precedent in Zimbabwe, where opposition parties had never held more than a handful of seats. 
In addition to the government's dramatic defeat over its constitutional reform bill, Tsvangirai won an aura of credibility that was enhanced by the general election result. 
Tsvangirai himself was not elected. Turning down the opportunity of a seat in one of the cities, where the MDC's support was strongest, he chose instead to stand in his home district - which, like most rural constituencies, was won by Zanu-PF. 
Now seen as a real threat to Mugabe's presidency, Tsvangirai was arrested shortly after the election and charged with making threats against the president, accusations that were dismissed by a court.
In 2001 Tsvangirai made a speech condemning the massacre of anti-Mugabe rebels in Matabeleland in 1984 when an estimated 20,000 people died. 
In his speech, Tsvangirai promised that those responsible would be brought to justice should the MDC come to power.
He was arrested again in 2003 after using a press conference to accuse Mugabe of using violence and intimidation to maintain his hold on government.
Officials of the MDC found themselves at loggerheads in 2005 with some members, including Tsvangirai, urging a boycott of any future elections until it could be certain that a vote would be free and fair.
The resulting split proved a disaster in the senate elections, with MDC candidates winning only five of the 60 seats.
But despite the internal rows, the MDC was still gaining popular support and was perceived by Mugabe as a major threat.
In 2007 Tsvangirai was again arrested and, this time, taken to a special forces barracks, where for several hours he was badly beaten, causing a fractured skull and internal bleeding.
He was taken to a local hospital where TV pictures of his injuries were taken by a freelance cameraman, Edward Chikomba, and smuggled out of Zimbabwe. Chikomba was later abducted and killed.
Just weeks after the beating, police raided the MDC headquarters and again Tsvangirai was arrested.
On 29 March 2008, with the MDC still split, presidential and parliamentary elections were held in Zimbabwe. 
The results of the presidential election were withheld for more than a month amid allegations that the government was attempting to rig the ballot.
After a recount, the Zimbabwe Electoral Commission declared that none of the candidates had achieved the required 50% and ordered a second round of voting.
Tsvangirai, buoyed by the news that the now reunited factions of the MDC held a majority of the parliamentary seats, initially agreed to take part in the second round.
But his campaign was facing increasing levels of intimidation and violence, with MDC rallies being attacked and supporters beaten and killed. 
Just days before the poll he declared that a free and fair vote was impossible and withdrew from the contest, leaving Mugabe as the only candidate. 
In July 2008 Tsvangirai met Mugabe for the first time in a decade as a prelude to negotiations over a possible power-sharing arrangement.
Against a background of continuing violence, a deal was hammered out whereby Mugabe agreed to surrender day-to-day control of the government.
In February 2009, Tsvangirai was sworn in as prime minister.
Despite the agreement, Mugabe continued to hold the reins of power. 
The policy of land reform continued with so-called ""war veterans"" continuing to invade and occupy farmland.
Tsvangirai faced fierce criticism from many sections of the MDC, which claimed his decision to share power had allowed Mugabe to remain in office.
He also failed to stand up to Mugabe in what was supposed to be an equal partnership, allowing the wily president to make up the rules as he went along.
The result was a loss of confidence in Tsvangirai's leadership, which eventually led to a crushing defeat for the MDC in the July 2013 elections.
Just two months later Tsvangirai resigned as prime minister, and Mugabe underlined his dominance by abolishing the post.
Morgan Tsvangirai, although a consummate orator, lacked Mugabe's political nous and innate cunning, and even Tsvangirai's supporters said he was often outflanked by the president.
But Tsvangirai had the courage to face down the violence and intimidation, and give ordinary Zimbabweans the hope that there was an alternative to the discredited Mugabe regime. In the end he lived to see the overthrow of the president he had battled for so long."
"20","In our series of letters from African journalists, Elizabeth Ohene looks into recent reports that officials were refusing to register babies with Ghanaian names and only accepting European ones.
In Ghana, we have a thing about names and titles. It starts at birth, when there are many naming ceremonies. 
The first one happens as soon as a child is born and is based on the day of the week he or she arrives. 
Thus Kwadwo, Komla, Kwaku, Yaw, Kofi, Kwami and Kwasi are the names for males born on Monday, Tuesday, Wednesday, Thursday, Friday, Saturday and Sunday respectively. 
The female equivalents are Adzoa, Abena, Akua, Yaa or Yawa, Afua, Ama and Akosua. 
A week after the birth, on the eighth day, we hold an ""outdooring"" - a formal ceremony where the parents announce the child's given name.
The day name is still used and later in life, it often becomes your middle name. My middle name is Akua because I was born on a Wednesday. 
For Christians, later on there will be a baptismal ceremony. In the old days, priests used to insist that a child should be given a Christian name - one that can be found in the Bible.
The biblical names given to children would be English or German, because the Bible was first brought to Ghana by people from those countries. 
That is why you'll meet lots of Ghanaians called John, James and Johann. 
You might also like: 
Some time later, there would be another ceremony when parents go to register the child at the Births and Deaths Registry. 
Judging from recent events in Ghana, it would seem that things have been coming to a head at this last naming ceremony. 
The registry began refusing to register certain names that it deemed inappropriate.
This included names like Nana, Naa, Nii, Owula, Togbe, Junior and Prince - all of which are popular in Ghana. 
The registry said these names were titles, not real names, and that they were intended for chiefs and royals - not ordinary children.
Nana's closest equivalent in English is Your Royal Highness. That name, from the Akan language, also exists in the Ga language as Nii for boys and Naa for girls.
The name Owula can be translated as Esquire, while the Ewe name, Togbe, literally means ""grandfather"" - indicating that the child has been named in honour of their elder.
The registry also rejected names where the English name came after the local language name. 
Writs have been filed in the courts, questions have been asked in parliament and a Minister of State has had to appear in the House to answer questions on the subject. 
He assured politicians and the people of Ghana that the registry would accept names that they had been refusing to register. 
The minister added that parents were free to register local language names as first names, and English names as the middle names. 
This does not mean that people are now free to give their children whatever names they want. 
The registry will not register your child as Honourable, Excellency, or Your Highness in English - but their Ghanaian equivalents, like Nana, are fine.
Their change of heart is good news for Ghana's President Nana Addo Dankwa Akufo-Addo.
It would have been very strange if the registry had successfully argued that a new generation of Ghanaians could not be called Nana.
More Letters from Africa:
The teen rescuing street children in Nigeria
Why some Sudanese back the lecturer who beat his students
Inside Africa's WhatsApp's gated communities
Braving slavery horrors for European dream
Lingering cultural colonialism"
"21","The news that Oxfam staff used prostitutes in Haiti has led to renewed focus on how the aid sector works, and what measures are in place to prevent abuse by aid workers. 
Headlines like ""Oxfam faces new sex scandal in South Sudan"" are certainly not flattering, and they come at a time when many countries are debating cutting foreign aid. 
How does this square with the more standard view of an aid worker: the selfless humanitarian who works in the most difficult conditions in order to improve the lives of the most vulnerable?
Of course, there are no perfect saints, and probably no perfect sinners either, in any organisation. 
But the UN, which regularly uses organisations like Oxfam as implementing partners, is now struggling with a problem many suggest it should have addressed more publically decades ago.
This week in Geneva, UN aid agencies took care to express their zero tolerance approach to sexual abuse. 
""Every single report or allegation of sexual exploitation, harassment, or abuse is thoroughly assessed,"" said Andrej Mahecic of the UN Refugee Agency. ""If substantiated it leads to sanctions and summary dismissal.""
""We are in the process of introducing mandatory training for all staff, using existing UN courses on the prevention of sexual harassment and exploitation,"" added Tarik Jasarevic of the World Health Organisation.
But is this enough? Andrew MacLeod, a former UN worker who has been highly critical of the UN system, believes they should have been more active long ago. ""No one working in aid will be surprised by this,"" he said.
""This is not just an issue about Oxfam, it's an issue in all aid agencies all over the world.""
Since the Oxfam scandal broke, Mr MacLeod has given numerous interviews, and provided an assessment to the tabloid newspaper The Sun which ran the headline ""UN aid workers raped 60,000 people"".
Asked by the BBC to substantiate the figures, Mr MacLeod said: ""I'm not claiming that to be a number of science.""
So where did he get it? By looking at UN figures for 2016, he explained, which suggest there were 311 cases of sexual abuse by UN peacekeepers during that year. 
A further suggestion by the UN that the numbers would be higher led him to double that annual figure, and then multiply it by ten because generally only about 10% of rape cases are reported. 
That brought to him an approximate figure of 6000, which he then multiplied by ten again to cover a ten year period.
""Sensationalist and bombastic, zero creds,"" was the reaction of one female aid worker with years of experience in the field. ""Not the experience of any aid agency I have ever worked with."" 
Nevertheless, the UN knows it must now be much more transparent about what it is actually doing to combat cases of abuse.
Scandals in the past, such as the sexual exploitation of trafficked women in Bosnia by UN peacekeepers, a ""sex for food"" scandal which implicated the World Food Programme in Liberia, and the abuse of children in the Central African Republic by French peacekeepers have all raised questions about the UN's ability to prevent abuse, and to prosecute it when it does occur.
In fact, Judith Greenwood, Executive Director of the CHS (Core Humanitarian Standards) Alliance, says aid agencies and the UN do have ""the tools"" to tackle sexual abuse in the aid sector, although abuse committed by UN peacekeepers remains (at member states' insistence) the responsibility of the countries the peacekeepers come from.
Pointing out that the Oxfam Haiti scandal dates back to 2011, Ms Greenwood said a lot of good policy and practice had been adopted since then. 
""There is an interagency task team that specifically looks at accountability to the affected population. All of our member organisations (all the major aid agencies, including Oxfam) have to have clear procedures in place to tackle exploitation and abuse.""
Meanwhile Unicef says any allegations of abuse of children in its care are referred to its executive director within 48 hours. They added: ""We are training our staff continuously in this, and we are improving our assistance to victims.""
The UN this week also responded sharply to Andrew MacLeod's suggestion that UN aid workers committing abuse could get away with it because they enjoyed diplomatic immunity. 
""Let's be clear about this. The answer is no,"" tweeted the secretary general's spokesperson. ""Sexual abuse is a crime. The UN does not and will not claim immunity in such cases.""
But tweets and restatements of existing policy may not be enough to calm this debate, especially if there are more revelations of historic scandals.
UN aid agencies are currently trying to deal with an unprecedented number of humanitarian crises, from Syria, to Yemen, to the Democratic Republic of Congo. 
Privately senior UN officials are concerned that the headlines may lead to a substantial loss of public support, and a consequent major cut in funding.
That's an outcome that won't help anyone, they argue. And here, even UN critic Andrew MacLeod agrees.
""This is not an excuse to cut aid. This is an excuse to fix aid."""
"22","Tour operator Thomas Cook is taking British tourists back to Tunisia this week for the first time since an ISIS gunman massacred 38 people - 30 of them British - on a beach in Sousse in 2015.
Until last summer, the Foreign Office advised against travel there due to the high risk of terrorism. 
So what has changed and is it safe for western tourists to go back?
On a beach of pristine sand, the sun beats down from a cloudless sky and the turquoise blue of the Mediterranean glitters on the horizon. 
But something is missing: tourists. 
Admittedly, it's February and therefore low season, but the place is almost completely deserted. Lines of lonely parasols stretch away into the distance and the hotel lobby is empty.
This is Port El Kantaoui near Sousse, where on a hot summer's day in June 2015 a Tunisian jihadist, who had been trained across the border in Libya, strode onto the beach with an assault rifle hidden inside a rolled-up parasol. 
He proceeded to calmly shoot dead 38 people, mostly Britons, as they lay on their sunbeds or tried to flee. 
The police were initially nowhere to be seen. Horrified Tunisians shouted at him to stop and bravely formed a human chain across the beach to stop him moving on to the next resort.
The gunman, Seifeddine Rezgui, was eventually cornered in a nearby backstreet and shot dead by police. The bullet holes are still there in the wall today.
That Sousse attack came just three months after an earlier one on the Bardo Museum in Tunis that killed 22 people.
For normally peaceful Tunisia, still reeling from the 2011 revolution that deposed long-time dictator Zine El Abidine Ben Ali, this was a cataclysmic shock that shattered its tourist industry.
In 2014, the year before the attacks, says Tunisia's ambassador to London, there were 430,000 visitors from Britain. Last year there were just 28,000.
This week Thomas Cook, which will be operating fully booked flights from Manchester, Birmingham and Gatwick, says it is expecting only around a quarter of the volume they had in 2014. Tour operator TUI is waiting until May to return.  
Yet British officials say Tunisia has made huge progress in counter-terrorism since those attacks.
Quietly, behind the scenes, Britain and other western governments have been helping the Tunisians raise their security standards to the point where JTAC, the UK's Joint Terrorism Analysis Centre, recommended lifting the Foreign Office's travel restrictions.
British aviation security experts have helped carry out a complete overhaul of security at Tunis, Djerba, Monastir and Enfidha airports.
Explosive detection systems have been donated and installed and there is now a best-practice cooperation deal signed between Tunis Carthage airport and Bristol airport.
The Ministry of Defence has undertaken to train up the National Guard in maritime interdiction and port security.
Counter-terrorism detectives from the Metropolitan Police have been working with hotel staff in resort towns to train them in what to look out for in terms of suspicious activity. 
In the grounds of a family-run hotel in Hammamet, owner Mehdi Alani says: ""The attacks of 2015 were a wake-up call for Tunisia.
""We never expected anything like this.
""Since then, we have completely upgraded our security procedures. 
""Anyone looking to work here has to submit their ID to the Interior Ministry for vetting.""
Mr Alani points towards the beach, where heavily-built men in suits pace up and down, keeping a watchful eye. 
""We've installed 60 CCTV cameras and we can call up a police response, if need be, from just up the road.""
The police response, or lack of it, was one of the most shocking things about the Sousse attacks in 2015.
Since then, the French have been giving firearms training to Tunisia's police, while some officers are now being prosecuted for a dereliction of duty on that day.
Britain's MI6 secret intelligence service has been helping Tunisia to improve its intelligence-gathering capabilities. Yet several problems remain.
Tunisia sits in a dangerous place. 
Libya, next door, is still partly in chaos after the collapse of law and order in 2011. 
The Manchester bomber, Salman Abedi, trained there and Tunisian officials believe large numbers of their nationals who went to join ISIS are now hiding in remote camps in Libya. 
Down at the border crossing point at Ras Ajdir, there is a steady stream of traffic coming across from Libya.
""We only search 10% of the vehicles, based on profiling,"" says a customs officer, ""but we use newly-installed X-ray scanners from America to look inside the vehicles"". 
America, along with Germany, has also helped Tunisia build a 120km (75 mile) border ditch that stretches along the Libyan frontier down into the Sahara.
There are plans to introduce unmanned drone patrols and other electronic surveillance.
Then there is the economic malaise. 
Tunisia may be culturally rich - its fabulous Roman ruins are just waiting to be explored - but it's running out of money. 
Tighter border controls with Libya have put a lot of petty smugglers out of business, reportedly driving a small minority to go off and join ISIS.
In provincial towns I saw large numbers of men just sitting around in cafes, jobless and bored.
The widespread resentment of the privileged elite in Tunis that helped trigger the 2011 uprising has not gone away, it's just gone underground.
Efforts to stamp out corruption have not gone far enough, say Tunisians.
One of the problems that has had to be addressed at airports is people bribing their way to pass through customs more quickly or even without being searched. 
Britain's ambassador to Tunis, Louise de Sousa, said when asked if Tunisia is safe enough now for British tourists to return: ""No country can be 100% safe [from terrorism].
""But we are satisfied that Tunisia has made substantial progress and I would encourage Britons to come and visit. This country has so much to offer."""
"23","A national state of emergency has been declared in Ethiopia just one day after the unexpected resignation of Prime Minister Hailemariam Desalegn.
A statement by the state broadcaster said the move was necessary to stem a wave of anti-government protests. 
Hundreds of people have died in three years of unrest in the country.
A 10-month state of emergency that ended last year failed to stop the protests, as did the release from jail of thousands of opposition supporters.
Mr Desalegn said he made his decision to stand down on Thursday in the hope that it would help end the years of unrest and political upheaval.
Dozens of people have been killed and many more injured during recent strikes called to press for the release of political prisoners. 
Demonstrations initially began in Oromia in November 2015. Protests later sprung up in the Amhara region.
Oromia and Amhara are the homelands of the country's two biggest ethnic groups. "
"24","At least five Congolese soldiers have been killed by the Rwandan army, the military in DR Congo says.
Gen Bruno Mandevu said the clash had occurred in the Virunga National Park, on Congolese territory - a claim Rwanda denied.
He said the Congolese troops initially thought they were fighting one of the many rebel groups active in the area.
Some fear these clashes could increase tensions between the countries, which have a troubled history.
Rwanda twice invaded its much-larger neighbour in the 1990s.
A Rwandan army spokesman confirmed the clashes but told the BBC that it was Congolese troops who had crossed the border.
Eastern Democratic Republic of Congo, across the border with Rwanda, remains deeply unstable.
Aid agencies are warning about violence in the north-eastern Ituri province, where the United Nations children's agency, Unicef, says more than 46,000 children are on the run.
The BBC's Catherine Byaruhanga has seen burnt and abandoned villages in the province where people from the Hema and Lendu ethnic groups have been fighting for control of land.  
Earlier this week, the Norwegian Refugee Council, a humanitarian NGO, warned that the crisis in DR Congo was at a deadly tipping point.
In the past two years, more people have been displaced in DR Congo than any other country. 
A total of 4.5 million people need assistance."
"25","Oxfam says it will set up a commission to investigate past and present allegations of exploitation by staff.
Oxfam International's executive director Winnie Byanyima said it would ""do justice"" and ""atone for the past"".
She invited victims to come forward ""for justice to be done"" for them, saying she was ""here for all the women who have been abused"". 
The British charity has faced criticism over the way it handled claims staff hired prostitutes in Haiti in 2011.
Meanwhile, UN Secretary General Antonio Gutteres told the BBC there must be ""zero tolerance"" of sexual misconduct within the aid community.
Ms Byanyima, the most senior Oxfam executive to speak on the issue, said she first heard of the controversy after news reports last week.
She said the organisation was ""hurt"", but added: ""There is no way this organisation can die... the world needs it.""
In an interview with the BBC's diplomatic correspondent James Landale, she switched to speaking in the Ugandan language of Runyankore to make an apology: ""From the bottom of my heart forgive us, forgive Oxfam."" 
She admitted she could not guarantee there were not sex offenders currently working at the organisation but vowed Oxfam would ""build a new culture that doesn't tolerate that behaviour"".
She said the reforms at Oxfam would include: 
Mr Gutteres said Oxfam were ""very reliable partners"" during his time as UN high commissioner for refugees and he hoped the charity would ""overcome this difficulty and to do everything necessary to re-establish... normal operations"".
He added: ""In relation to sexual harassment and sexual exploitation... These are widespread problems that all organisations - international organisations, national organisations, the private sector - have and they need to fight it very strongly."" 
Earlier this month, news reports said that during a humanitarian mission in Haiti in 2011, the charity's country director Roland van Hauwermeiren hired prostitutes at a villa paid for by Oxfam. 
Mr Van Hauwermeiren, who left Oxfam in 2011 amid a sexual misconduct inquiry, has denied hiring prostitutes but said he had ""intimate relations"" with a woman who was ""not a prostitute"".
Oxfam had staff working in Haiti following the earthquake in the country which killed about 200,000 people in 2010.
As a result of the revelation, the charity has faced severe criticism from the British government and the Haitian president.
International Development Secretary Penny Mordaunt has threatened to cut the charity's government funding, which was £32m last year. 
The charity has also lost a number of celebrity ambassadors including Good Will Hunting actress Minnie Driver, and Nobel Peace Prize winner Archbishop Desmond Tutu.
Ms Byanyima said she was sad to lose ambassadors she ""respects so much"", but added: ""What hurts me most is out there in Haiti, there are poor women who have been abused and have not received justice."" 
Meanwhile, Oxfam's chief executive Mark Goldring has used an interview in the Guardian to repeat his apology for the charity's failings, while maintaining that ""the scale and the intensity of the attacks feels out of proportion to the level of culpability"".
The UK's Charity Commission is to launch a full inquiry into Oxfam, saying the organisation may not have ""full and frankly disclosed material details"" about the Haiti sex scandal. 
On Thursday a new allegation came to light that a worker fired by Oxfam over sexual misconduct allegations in Haiti was rehired later the same year by the charity. 
Oxfam said its decision to rehire the man in Ethiopia was a ""serious error"".
Oxfam has almost 10,000 staff working in more than 90 countries across the globe. 
Do you have any information related to this story that you wish to share? Please email haveyoursay@bbc.co.uk.
Please include a contact number if you are willing to speak to a BBC journalist. You can also contact us in the following ways:
Or comment here:"
"26","A skit on China's biggest Lunar New Year TV show has sparked widespread criticism and accusations of racism.
In a comedy routine celebrating Chinese-African ties an Asian actress appears in blackface and with exaggerated buttocks.
Using make-up to lampoon black people - a practice known as blackface - is seen by many as deeply offensive.
The annual state media variety show is hugely popular, and has up to 800 million viewers.
Some observers have pointed out that this sketch would not have been intended as offensive to Africans.
However, this is not the first time Chinese entertainment shows have caused controversy with their portrayals of other ethnicities.
The controversial sketch was part of the four-hour CCTV New Year Gala - also known as the Spring Festival Gala - which aired on Thursday night. By some estimates, the show is the most watched entertainment programme on earth.
The skit begins with a routine by a group of African dancers in ""tribal"" attire and people dressed up as zebras, giraffes, lions and antelopes. This is followed by a comedy skit where a young black woman asks a Chinese man to pose as her husband when meeting her mother. 
While the young woman is played by a black actor, her mother appears to be an Asian actor in blackface make-up, donning a traditional outfit complete with huge fake buttocks. 
She walks on stage carrying a fruit plate on her head and is accompanied by what is thought to be have been a black actor in a monkey suit, carrying a basket on his back. 
You might also like: 
The skit praises Chinese-African cooperation, showing how much Africans benefit from Chinese investment and how grateful they are to Beijing. At one stage, the character of the African mother exclaims how much she loves China. 
China has over the past years stepped up investment into many African countries. The sketch was set around people working on the Nairobi-Mombasa railway project.
by John Sudworth, BBC News, Beijing
China's TV gala has become as much a part of the spring festival tradition as dumplings and lanterns. The gaudy sets, highly choreographed dance troupes and sentimental ballads serve as the background noise to hundreds of millions of private family reunions and provide the mass media glue that binds them all into a genuine national moment.
In recent years though there have been grumblings that the gala is taking on a more political tone and this year was no exception - with the whole event a kind of pageant to China's rising power and national rejuvenation.
The Africa skit was clearly meant to be part of this same vision and is, if nothing else, proof that art is rarely improved by a large dollop of propaganda. But what's particularly striking about the whole toe-curling spectacle is that it is also strangely at odds with China's own message.
Chinese investment in Africa is one of the defining economic stories of our time and it has been accompanied by a massive publicity drive. 
Bristling at any suggestion that it is involved in neo-colonialism, China insists that it comes not to exploit, but in partnership with and for the mutual benefit of its African partners. 
The sight then, of a Chinese actress in blackface, leading an African man dressed as a monkey around a stage as a way of celebrating a vital trading relationship on prime-time national TV, seems particularly ill-judged.
Simply naive and clumsy? Or a sign of something deeper? Either way it suggests China's soft-power project is still a work in progress.
The notion of blackface being racist is linked to the history of minstrel shows in the US and Europe in the 19th and 20th centuries where white actors would paint their skin black for condescending portrayals of black people. 
In China, the vast majority of people have no experience of interacting with black people and are less aware of Europe's and the US' history of slavery and racism. 
Nonetheless, Chinese users on the country's biggest social media website Weibo have condemned the programme.
Comments included ""it's full of racism,"" that ""it makes me feel like I'm living in the last century,"" and that ""we are going to lose face internationally"". 
Putting it into a larger context beyond the specific history of blackface, one user asks ""if an American white person painted yellow, says I love the USA and recites some Trump quotes while pulling his eyes, how would you feel?""
Some Chinese articles criticising the annual gala on the eve of Lunar New Year, China's biggest holiday, have been blocked overnight, as have some critical comments on Chinese social media sites.
In 2016, a TV advertisement for a laundry detergent had caused widespread outrage for being racist. 
The ad featured a black man with paint stains on his face who gets put into a washing machine by a young Chinese woman to later re-emerge as a fair-skinned Chinese man. "
"27","Ethiopian Prime Minister Hailemariam Desalegn has resigned unexpectedly, saying he hoped to end years of unrest and political upheaval.
In a televised address, he said his resignation was ""vital in the bid to carry out reforms that would lead to sustainable peace and democracy"". 
Mr Hailemariam, who has led the country since 2012, also stepped down as chairman of the ruling coalition.
Hundreds of people have died in three years of anti-government protests.
Demonstrations first spread across the country in 2015 amid calls for political and economic reform and an end to state corruption.
Most of the unrest has centred on Ethiopia's two largest regions, Oromia and Amhara.
A 10-month national state of emergency that ended last year failed to stop the protests, as did the release of thousands of opposition supporters from jail last month..
""Unrest and a political crisis have led to the loss of lives and displacement of many,"" Mr Hailemariam said.
""I see my resignation as vital in the bid to carry out reforms that would lead to sustainable peace and democracy."" 
Leaders of the governing coalition - the Ethiopian People's Revolutionary Democratic Front (EPRDF) - held an emergency meeting following the announcement, the Addis Standard website reported.
BBC Africa Correspondent Alastair Leithead says Ethiopia's economic growth has been impressive but its steamroller approach to development has sparked years of regional, ethnic-based protest.
The old guard that runs Ethiopia is now afraid its federal, Soviet-style system could collapse, he adds, leaving two possible solutions - to crack down harder on dissent or to try political reform.
Mr Hailemariam said he will stay on as a caretaker prime minister until parliament and the EPRDF accept his resignation and choose a replacement.
Analysis by Kalkidan Yibeltal, BBC Amharic Service, Addis Ababa
Since coming to power, Mr Hailemariam has been seen by the political elite as weak and lacking in leadership.
His resignation could be a move by the coalition to find a stronger leader, or it could signal divisions among the constituent parties along ethnic lines.
Particularly visible is the tension between the Tigrayan People's Liberation Front, which has seen its dominance and influence wane, and the Oromo People's Democratic Organisation, which is becoming increasingly more assertive.
Replacing Mr Hailemariam might also be one way to meet the demands of Oromo protesters who have accused the authorities of marginalisation.      
Getaneh Balcha, of the opposition Blue Party, said Mr Hailemariam's resignation was ""great news for Ethiopians"".
""This is the beginning. Other officials also need to follow this and transfer the power to the public,"" he said.
Mr Hailemariam, a trained engineer, took office following the death of Meles Zenawi who had ruled since 1991.
However, while the former deputy prime minister was a close ally of Mr Meles, he struggled to gain approval of the other EPRDF leaders in order to assume his role."
"28","After years of attempts to remove him, and months of speculation, Jacob Zuma has been forced to step down as president of South Africa. 
Mr Zuma had been in a vulnerable position since the end of his final term as head of the ruling ANC in December last year, when his rival Cyril Ramaphosa was chosen to lead the party.
The allegations of corruption around Mr Zuma were unrelenting. 
Particularly damaging were the ongoing claims that a wealthy family from India - the Guptas - had gained lucrative state contracts and exerted undue influence on government appointments because of a corrupt relationship with the president. 
While the Guptas and Mr Zuma consistently denied the claims, the stories of what is known as ""state capture"" kept coming.
Mr Zuma is also facing the possible reinstatement of 18 charges of corruption, fraud, and money laundering stemming from a 1990s arms deal.
Mr Ramaphosa has been sworn in as the country's new president after he was the only candidate in an election in parliament.
He has said his priority is reviving South Africa's battered economy. Shortly after winning the bitterly contested ANC leadership battle, he said ""we must all do all we can to ensure that we turn our economy around"".
But it won't be easy: Unemployment is currently at almost 30%, a rate which rises to nearly 40% for young people. Low growth rates and dwindling investor confidence were compounded by two credit agencies downgrading the economy to junk status. 
One of the first steps in improving that investor confidence is addressing the persistent claims of corruption at the heart of government. 
For example, there are the ongoing allegations of maladministration at the state power company Eskom, which led to a crisis that Finance Minister Malusi Gigaba warned could wreck the economy if not resolved. Ratings agencies have also cited the situation at the company as a cause for concern.
At the same time, Mr Ramaphosa urgently needs to unite his party. The recent leadership campaign deepened fractures within the ANC, and it is now split between those who support Mr Zuma, and backers of Mr Ramaphosa who wanted Mr Zuma out. 
Arguably one of Mr Zuma's greatest achievements was calming the political violence in his home province of KwaZulu-Natal (KZN) during the run-up to the first democratic election in 1994. He is hugely popular in the region and is credited with delivering votes both from the area and from his Zulu ethnic group.
There are fears that if Mr Zuma's supporters feel he was treated badly, the ANC could lose these important votes. And even more concerning is that as the power struggle within the ANC has intensified, so too has political violence in KZN.
Perhaps this is one of the reasons Mr Ramaphosa was so careful in his handling of Mr Zuma's exit, insisting on several occasions that he should not be humiliated. 
It is often said that Mr Ramaphosa has had his eye on the position of president since the ANC came to power in 1994. 
The story goes that he was so upset at not having been chosen by Nelson Mandela as his successor that he left politics and went into business. 
But Mr Ramaphosa has now finally realised that dream. But unless he is able to bring Mr Zuma's supporters on board, and address the issues in the economy, his time as president could prove to be short-lived.
The ANC has won every election in South Africa since the end of white minority rule in 1994. For many South Africans it is the party that brought them freedom from the brutality and racism of apartheid rule, and this is not something easily forgotten.
But its popularity has been waning, and for the first time there is a realistic possibility that the party could lose power - particularly if the opposition parties form a coalition. 
The ANC suffered humiliating losses in the 2016 local government elections. Although it gained far more votes than any other party, it lost control of major cities including the economic hub of Johannesburg and the capital, Pretoria.
While there is no doubt that the lives of many South Africans have improved, many feel not enough has changed under ANC rule. South Africa is still one of the most unequal countries in the world, and more than half the population live in poverty.
The allegations of corruption within the ANC government have added to a sense that a privileged, politically connected elite is benefitting at the expense of ordinary South Africans.
There is also the sense among many black South Africans that the power structures created under apartheid are still in place. In particular, land and the economy are hot button issues.
The redistribution of agricultural land taken from black people while the country was under white rule has been painfully slow. 
About 95% of the country's assets are in the hands of 10% of the population. And white South Africans still earn around five times more than their black counterparts.
The ANC has promised to accelerate land redistribution - even promising to change the constitution to allow land expropriation without compensation. And it has adopted the policy of ""Radical Economic Transformation"" - putting economic power in the hands of the majority black population.
But if it wants to retain that all-important investor confidence, the party also needs to convince business that South Africa will not go down the road already trodden by Zimbabwe.
Balancing the interests of its core voters with those of business and the economy might prove to the biggest challenge for the ANC ahead of the 2019 election."
